"HomeTeam","AwayTeam",HF,AF,HC,AC,HTHG,HTAG,RedsPerGame,YellowsPerGame,FaulesPerGame,AwayRedsPerGame,AwayYellowsPerGame,AwayFaulesPerGame,WinsPerGame,AwayWinsPerGame,Paciencia
"Man City","Bournemouth",8,11,3,3,2,0,0.0855,1.6201,11.5378,0.0439,1.3860,9.3421,0.4951,0.2982,0.1610
"West Brom","West Ham",14,6,2,5,3,0,0.0622,1.6196,11.3469,0.0789,1.7491,11.8281,0.2536,0.3123,0.1526
"Crystal Palace","Stoke",15,9,2,5,2,0,0.0368,1.7263,12.0526,0.0789,1.8105,11.7605,0.3158,0.3053,0.1546
"Southampton","Swansea",14,9,1,3,0,0,0.0737,1.3816,11.9921,0.0526,1.3910,9.9135,0.3421,0.3083,0.1411
"Tottenham","Sunderland",7,16,1,7,0,0,0.0743,1.4907,11.2771,0.0959,1.8233,12.2895,0.4644,0.2387,0.1695
"Watford","Man United",14,19,3,10,1,0,0.0921,1.7632,13.0263,0.0604,1.5062,11.1223,0.2566,0.6362,0.1505
"Arsenal","Chelsea",9,11,0,2,3,0,0.0882,1.5186,11.0464,0.0882,1.6115,11.1981,0.5728,0.5913,0.1505
"Bournemouth","Everton",10,14,2,6,1,0,0.0439,1.3860,9.3421,0.0851,1.5139,12.1517,0.2982,0.3824,0.1516
"Liverpool","Hull",8,8,1,4,3,0,0.0604,1.3607,10.9412,0.1263,1.7368,12.2526,0.5217,0.2158,0.1594
"Man United","Leicester",9,12,0,2,4,0,0.0604,1.5062,11.1223,0.1015,1.5451,11.8872,0.6362,0.3120,0.1695
"Middlesbrough","Tottenham",14,9,2,5,0,2,0.0822,1.6875,12.9178,0.0743,1.4907,11.2771,0.2632,0.4644,0.1369
"Stoke","West Brom",9,13,3,10,0,0,0.0789,1.8105,11.7605,0.0622,1.6196,11.3469,0.3053,0.2536,0.1564
"Sunderland","Crystal Palace",15,12,0,2,1,0,0.0959,1.8233,12.2895,0.0368,1.7263,12.0526,0.2387,0.3158,0.1677
"Swansea","Man City",15,9,2,8,1,1,0.0526,1.3910,9.9135,0.0855,1.6201,11.5378,0.3083,0.4951,0.1633
"West Ham","Southampton",9,14,5,12,0,1,0.0789,1.7491,11.8281,0.0737,1.3816,11.9921,0.3123,0.3421,0.1610
"Burnley","Watford",11,15,1,5,1,0,0.0395,1.6513,10.6316,0.0921,1.7632,13.0263,0.2632,0.2566,0.1411
"Everton","Crystal Palace",16,11,5,14,1,0,0.0851,1.5139,12.1517,0.0368,1.7263,12.0526,0.3824,0.3158,0.1610
"Hull","Chelsea",13,15,2,6,0,0,0.1263,1.7368,12.2526,0.0882,1.6115,11.1981,0.2158,0.5913,0.1677
"Sunderland","West Brom",7,13,1,5,0,1,0.0959,1.8233,12.2895,0.0622,1.6196,11.3469,0.2387,0.2536,0.1692
"Swansea","Liverpool",11,9,2,6,1,0,0.0526,1.3910,9.9135,0.0604,1.3607,10.9412,0.3083,0.5217,0.1505
"Watford","Bournemouth",17,12,3,10,0,1,0.0921,1.7632,13.0263,0.0439,1.3860,9.3421,0.2566,0.2982,0.1695
"West Ham","Middlesbrough",13,12,2,7,0,0,0.0789,1.7491,11.8281,0.0822,1.6875,12.9178,0.3123,0.2632,0.1633
"Burnley","Arsenal",2,3,0,0,0,0,0.0395,1.6513,10.6316,0.0882,1.5186,11.0464,0.2632,0.5728,0.1546
"Leicester","Southampton",9,9,1,2,0,0,0.1015,1.5451,11.8872,0.0737,1.3816,11.9921,0.3120,0.3421,0.1564
"Man United","Stoke",14,9,3,6,0,0,0.0604,1.5062,11.1223,0.0789,1.8105,11.7605,0.6362,0.3053,0.1516
"Tottenham","Man City",20,10,2,6,2,0,0.0743,1.4907,11.2771,0.0855,1.6201,11.5378,0.4644,0.4951,0.1594
"Arsenal","Swansea",7,10,2,1,2,1,0.0882,1.5186,11.0464,0.0526,1.3910,9.9135,0.5728,0.3083,0.1610
"Bournemouth","Hull",8,14,0,3,3,1,0.0439,1.3860,9.3421,0.1263,1.7368,12.2526,0.2982,0.2158,0.1450
"Chelsea","Leicester",6,12,1,3,2,0,0.0882,1.6115,11.1981,0.1015,1.5451,11.8872,0.5913,0.3120,0.1594
"Crystal Palace","West Ham",12,13,1,5,0,1,0.0368,1.7263,12.0526,0.0789,1.7491,11.8281,0.3158,0.3123,0.1564
"Man City","Everton",7,9,0,2,0,0,0.0855,1.6201,11.5378,0.0851,1.5139,12.1517,0.4951,0.3824,0.1505
"Stoke","Sunderland",10,13,1,3,2,0,0.0789,1.8105,11.7605,0.0959,1.8233,12.2895,0.3053,0.2387,0.1411
"West Brom","Tottenham",14,10,2,6,0,0,0.0622,1.6196,11.3469,0.0743,1.4907,11.2771,0.2536,0.4644,0.1614
"Middlesbrough","Watford",15,10,4,9,0,0,0.0822,1.6875,12.9178,0.0921,1.7632,13.0263,0.2632,0.2566,0.1374
"Southampton","Burnley",11,10,1,4,0,0,0.0737,1.3816,11.9921,0.0395,1.6513,10.6316,0.3421,0.2632,0.1695
"Liverpool","Man United",14,20,0,4,0,0,0.0604,1.3607,10.9412,0.0604,1.5062,11.1223,0.5217,0.6362,0.1677
"Arsenal","Middlesbrough",6,13,1,2,0,0,0.0882,1.5186,11.0464,0.0822,1.6875,12.9178,0.5728,0.2632,0.1695
"Bournemouth","Tottenham",10,15,2,8,0,0,0.0439,1.3860,9.3421,0.0743,1.4907,11.2771,0.2982,0.4644,0.1546
"Burnley","Everton",16,15,2,7,1,0,0.0395,1.6513,10.6316,0.0851,1.5139,12.1517,0.2632,0.3824,0.1411
"Hull","Stoke",16,8,2,7,0,1,0.1263,1.7368,12.2526,0.0789,1.8105,11.7605,0.2158,0.3053,0.1614
"Leicester","Crystal Palace",10,8,0,0,1,0,0.1015,1.5451,11.8872,0.0368,1.7263,12.0526,0.3120,0.3158,0.1505
"Liverpool","West Brom",9,13,1,5,2,0,0.0604,1.3607,10.9412,0.0622,1.6196,11.3469,0.5217,0.2536,0.1633
"Swansea","Watford",15,16,2,5,0,0,0.0526,1.3910,9.9135,0.0921,1.7632,13.0263,0.3083,0.2566,0.1193
"West Ham","Sunderland",10,13,2,9,0,0,0.0789,1.7491,11.8281,0.0959,1.8233,12.2895,0.3123,0.2387,0.1516
"Chelsea","Man United",7,17,3,8,2,0,0.0882,1.6115,11.1981,0.0604,1.5062,11.1223,0.5913,0.6362,0.1564
"Man City","Southampton",11,10,3,9,0,1,0.0855,1.6201,11.5378,0.0737,1.3816,11.9921,0.4951,0.3421,0.1526
"Crystal Palace","Liverpool",15,5,1,4,2,3,0.0368,1.7263,12.0526,0.0604,1.3607,10.9412,0.3158,0.5217,0.1594
"Man United","Burnley",12,9,3,5,0,0,0.0604,1.5062,11.1223,0.0395,1.6513,10.6316,0.6362,0.2632,0.1526
"Middlesbrough","Bournemouth",3,5,1,3,1,0,0.0822,1.6875,12.9178,0.0439,1.3860,9.3421,0.2632,0.2982,0.1692
"Sunderland","Arsenal",9,13,4,11,0,1,0.0959,1.8233,12.2895,0.0882,1.5186,11.0464,0.2387,0.5728,0.1564
"Tottenham","Leicester",11,20,3,10,1,0,0.0743,1.4907,11.2771,0.1015,1.5451,11.8872,0.4644,0.3120,0.1516
"Watford","Hull",13,8,1,4,0,0,0.0921,1.7632,13.0263,0.1263,1.7368,12.2526,0.2566,0.2158,0.1610
"West Brom","Man City",17,10,4,11,0,2,0.0622,1.6196,11.3469,0.0855,1.6201,11.5378,0.2536,0.4951,0.1450
"Everton","West Ham",15,12,2,7,0,0,0.0851,1.5139,12.1517,0.0789,1.7491,11.8281,0.3824,0.3123,0.1677
"Southampton","Chelsea",13,16,0,0,0,1,0.0737,1.3816,11.9921,0.0882,1.6115,11.1981,0.3421,0.5913,0.1411
"Stoke","Swansea",7,14,2,4,1,1,0.0789,1.8105,11.7605,0.0526,1.3910,9.9135,0.3053,0.3083,0.1505
"Bournemouth","Sunderland",14,17,3,8,1,1,0.0439,1.3860,9.3421,0.0959,1.8233,12.2895,0.2982,0.2387,0.1695
"Burnley","Crystal Palace",11,12,1,4,2,0,0.0395,1.6513,10.6316,0.0368,1.7263,12.0526,0.2632,0.3158,0.1677
"Chelsea","Everton",5,16,0,3,3,0,0.0882,1.6115,11.1981,0.0851,1.5139,12.1517,0.5913,0.3824,0.1516
"Man City","Middlesbrough",7,15,1,5,1,0,0.0855,1.6201,11.5378,0.0822,1.6875,12.9178,0.4951,0.2632,0.1614
"West Ham","Stoke",11,10,4,9,0,0,0.0789,1.7491,11.8281,0.0789,1.8105,11.7605,0.3123,0.3053,0.1594
"Arsenal","Tottenham",11,17,1,4,1,0,0.0882,1.5186,11.0464,0.0743,1.4907,11.2771,0.5728,0.4644,0.1526
"Hull","Southampton",13,15,0,5,0,1,0.1263,1.7368,12.2526,0.0737,1.3816,11.9921,0.2158,0.3421,0.1369
"Leicester","West Brom",8,8,0,2,0,0,0.1015,1.5451,11.8872,0.0622,1.6196,11.3469,0.3120,0.2536,0.1546
"Liverpool","Watford",14,10,1,4,3,0,0.0604,1.3607,10.9412,0.0921,1.7632,13.0263,0.5217,0.2566,0.1505
"Swansea","Man United",9,16,0,2,0,3,0.0526,1.3910,9.9135,0.0604,1.5062,11.1223,0.3083,0.6362,0.1633
"Crystal Palace","Man City",12,15,1,4,0,1,0.0368,1.7263,12.0526,0.0855,1.6201,11.5378,0.3158,0.4951,0.1516
"Everton","Swansea",13,12,4,10,0,1,0.0851,1.5139,12.1517,0.0526,1.3910,9.9135,0.3824,0.3083,0.1564
"Man United","Arsenal",14,11,3,9,0,0,0.0604,1.5062,11.1223,0.0882,1.5186,11.0464,0.6362,0.5728,0.1594
"Southampton","Liverpool",8,11,1,3,0,0,0.0737,1.3816,11.9921,0.0604,1.3607,10.9412,0.3421,0.5217,0.1526
"Stoke","Bournemouth",17,10,3,8,0,1,0.0789,1.8105,11.7605,0.0439,1.3860,9.3421,0.3053,0.2982,0.1374
"Sunderland","Hull",9,8,3,2,1,0,0.0959,1.8233,12.2895,0.1263,1.7368,12.2526,0.2387,0.2158,0.1450
"Tottenham","West Ham",13,16,3,8,0,1,0.0743,1.4907,11.2771,0.0789,1.7491,11.8281,0.4644,0.3123,0.1695
"Watford","Leicester",12,18,2,7,2,1,0.0921,1.7632,13.0263,0.1015,1.5451,11.8872,0.2566,0.3120,0.1633
"Middlesbrough","Chelsea",13,10,2,7,0,1,0.0822,1.6875,12.9178,0.0882,1.6115,11.1981,0.2632,0.5913,0.1610
"West Brom","Burnley",12,12,0,0,3,0,0.0622,1.6196,11.3469,0.0395,1.6513,10.6316,0.2536,0.2632,0.1411
"Burnley","Man City",5,15,2,7,1,1,0.0395,1.6513,10.6316,0.0855,1.6201,11.5378,0.2632,0.4951,0.1594
"Chelsea","Tottenham",13,16,2,5,1,1,0.0882,1.6115,11.1981,0.0743,1.4907,11.2771,0.5913,0.4644,0.1505
"Hull","West Brom",7,10,3,8,0,1,0.1263,1.7368,12.2526,0.0622,1.6196,11.3469,0.2158,0.2536,0.1193
"Leicester","Middlesbrough",15,12,4,12,1,1,0.1015,1.5451,11.8872,0.0822,1.6875,12.9178,0.3120,0.2632,0.1450
"Liverpool","Sunderland",5,9,1,5,0,0,0.0604,1.3607,10.9412,0.0959,1.8233,12.2895,0.5217,0.2387,0.1677
"Swansea","Crystal Palace",12,24,4,13,1,1,0.0526,1.3910,9.9135,0.0368,1.7263,12.0526,0.3083,0.3158,0.1614
"Arsenal","Bournemouth",12,13,3,11,1,1,0.0882,1.5186,11.0464,0.0439,1.3860,9.3421,0.5728,0.2982,0.1411
"Man United","West Ham",16,16,3,7,1,1,0.0604,1.5062,11.1223,0.0789,1.7491,11.8281,0.6362,0.3123,0.1610
"Southampton","Everton",11,15,0,2,1,0,0.0737,1.3816,11.9921,0.0851,1.5139,12.1517,0.3421,0.3824,0.1546
"Watford","Stoke",24,14,5,6,0,1,0.0921,1.7632,13.0263,0.0789,1.8105,11.7605,0.2566,0.3053,0.1516
"Crystal Palace","Southampton",11,13,3,7,2,0,0.0368,1.7263,12.0526,0.0737,1.3816,11.9921,0.3158,0.3421,0.1633
"Man City","Chelsea",14,9,6,7,1,0,0.0855,1.6201,11.5378,0.0882,1.6115,11.1981,0.4951,0.5913,0.1677
"Stoke","Burnley",7,13,3,8,2,0,0.0789,1.8105,11.7605,0.0395,1.6513,10.6316,0.3053,0.2632,0.1526
"Sunderland","Leicester",8,12,3,7,0,0,0.0959,1.8233,12.2895,0.1015,1.5451,11.8872,0.2387,0.3120,0.1594
"Tottenham","Swansea",11,17,0,4,2,0,0.0743,1.4907,11.2771,0.0526,1.3910,9.9135,0.4644,0.3083,0.1610
"West Brom","Watford",12,8,2,5,2,0,0.0622,1.6196,11.3469,0.0921,1.7632,13.0263,0.2536,0.2566,0.1369
"West Ham","Arsenal",10,11,3,9,0,1,0.0789,1.7491,11.8281,0.0882,1.5186,11.0464,0.3123,0.5728,0.1546
"Bournemouth","Liverpool",9,17,2,6,0,2,0.0439,1.3860,9.3421,0.0604,1.3607,10.9412,0.2982,0.5217,0.1516
"Everton","Man United",13,11,2,7,0,1,0.0851,1.5139,12.1517,0.0604,1.5062,11.1223,0.3824,0.6362,0.1505
"Middlesbrough","Hull",6,11,1,3,0,0,0.0822,1.6875,12.9178,0.1263,1.7368,12.2526,0.2632,0.2158,0.1695
"Arsenal","Stoke",9,6,0,0,1,1,0.0882,1.5186,11.0464,0.0789,1.8105,11.7605,0.5728,0.3053,0.1450
"Burnley","Bournemouth",14,18,2,6,2,1,0.0395,1.6513,10.6316,0.0439,1.3860,9.3421,0.2632,0.2982,0.1564
"Hull","Crystal Palace",16,14,2,8,1,0,0.1263,1.7368,12.2526,0.0368,1.7263,12.0526,0.2158,0.3158,0.1411
"Leicester","Man City",10,7,2,5,3,0,0.1015,1.5451,11.8872,0.0855,1.6201,11.5378,0.3120,0.4951,0.1505
"Swansea","Sunderland",10,8,1,4,0,0,0.0526,1.3910,9.9135,0.0959,1.8233,12.2895,0.3083,0.2387,0.1546
"Watford","Everton",11,16,2,6,1,1,0.0921,1.7632,13.0263,0.0851,1.5139,12.1517,0.2566,0.3824,0.1677
"Chelsea","West Brom",6,10,2,8,0,0,0.0882,1.6115,11.1981,0.0622,1.6196,11.3469,0.5913,0.2536,0.1695
"Liverpool","West Ham",7,8,2,4,1,2,0.0604,1.3607,10.9412,0.0789,1.7491,11.8281,0.5217,0.3123,0.1526
"Man United","Tottenham",19,17,3,9,1,0,0.0604,1.5062,11.1223,0.0743,1.4907,11.2771,0.6362,0.4644,0.1516
"Southampton","Middlesbrough",14,12,4,11,0,0,0.0737,1.3816,11.9921,0.0822,1.6875,12.9178,0.3421,0.2632,0.1692
"Bournemouth","Leicester",5,15,0,3,1,0,0.0439,1.3860,9.3421,0.1015,1.5451,11.8872,0.2982,0.3120,0.1193
"Everton","Arsenal",10,10,3,3,1,1,0.0851,1.5139,12.1517,0.0882,1.5186,11.0464,0.3824,0.5728,0.1526
